x,y
3367.2636005730674,3696.3043614050994
3223.7771969554024,3269.8278651153632
3054.973246943248,112.41414412104083
2238.669453063999,2182.8607097486843
1014.2039975072239,3051.529373474835
1022.4535427160927,2032.3295110589913
1491.4187855303821,3526.2224295424617
175.1519221457616,1904.4075573028674
3487.576599611258,1161.3420370373929
1932.7758211505118,995.3334673926893
998.9796553517011,498.4807174652696
2789.028534270379,1798.0407060424302
3758.9790554143706,3038.082509424276
2854.496067716238,994.2859859215579
2759.4360308653063,3914.3033464187706
3246.8638627714417,763.1637907244344
425.56144827187364,2508.665857596091
1997.7926037532213,599.2341969770224
2622.8265891808965,95.3247766482347
1717.0463325160824,1536.18444861011
715.3633797866062,3343.396666961139
2793.4603424662623,3093.7415945525117
3023.6869524285967,1468.9186257816107
1069.0077823403383,3599.9695005771805
1383.3450153341144,2739.6252403857
2227.4297412555716,2607.2167358944976
783.5107250899897,119.19614796500512
2647.8500115110637,2395.611412769354
1866.9866247975801,2921.729013782263
3667.71676278535,1649.0880594990058
1283.2979458481475,2339.4183564237405
1308.6419184897877,105.24360156346575
758.5803351338309,1374.2761765763016
50.39963615350556,423.376255639279
1068.171694319756,1035.9060906312266
71.8158266886741,3810.082030652731
3901.05159589255,2648.479559094717
743.8705861532721,3855.6853347959945
496.28030857106,418.4827313940529
290.156964930624,2905.1298267168104
3924.49460496028,1084.0916366937893
2476.719262845167,3589.4310221559226
567.0535434496287,1992.3816541547128
2886.0204452241774,3497.8669411425135
1852.825219120802,3861.437511825744
2701.3857852981055,614.1731481700341
2264.152439233512,1463.8575402863157
1728.212027242143,1944.2355031903023
1353.0054645257671,711.9897310992059
3882.3441510245993,677.9054458124741
