x,y
3366.8071002321817,3696.286670417621
3223.8171104569137,3271.8519805830974
3055.0138862002073,111.87605140588752
2238.72450332682,2182.428794491991
1014.3768343467714,3052.1631126007674
1022.990588617174,2032.0130818246296
1491.366350588498,3525.642298812384
175.13601439151083,1904.471449576436
3482.8949418927573,1161.5554903775735
1932.5929420259235,995.4139481358428
998.8939313934836,497.6422103350264
2789.0853422249843,1799.202816049929
3758.6460130087853,3037.1571630074754
2854.421866367988,991.1626775157202
2759.399654012461,3914.2952146965313
3247.2831311943933,765.2623814948952
425.3036531500665,2508.7592154208023
1997.554115039978,599.1213785570608
2622.9642339393768,95.31954408284895
1717.1086653860207,1536.1418889154654
715.5199794428175,3343.151424037176
2793.2570329431314,3093.791708374052
3023.6872429816976,1468.9672016532033
1069.2067561461142,3599.975899679574
1383.0506781091658,2739.5024278944293
2227.1268854375285,2607.297558781146
783.3481242920968,119.19585921817352
2647.949011425487,2395.637690858011
1867.0159316537672,2921.6799045821876
3667.4322934821216,1649.0607832883943
1283.4080821068626,2339.387596430643
1308.4951371279362,104.94204814951867
759.6866463787023,1374.0799037966044
50.39690507784454,423.1207583390748
1068.2363824081262,1035.8351093168483
72.42464258621995,3810.418242963933
3901.0876252135718,2648.544786694901
744.8882784433266,3855.798055143233
494.3176187392096,419.8186927923294
289.7984771089965,2905.1466294031416
3924.474843187996,1084.0892575170087
2476.767001450341,3589.3366248908947
567.1118778561392,1992.6735499907568
2886.375506783804,3497.832606491492
1852.6894197044069,3839.9032668295104
2701.6847226017007,614.2343825075432
2264.0174681329336,1463.7985320161436
1724.439409027948,1944.2278047186974
1353.0466050422028,711.8203971625593
3882.164923795549,678.443545133466
